claim_id,edge_key,relation_type,source_id,target_id,label,confidence,claim_type,confidence_grade,evidence_refs,primary_source_id,claim_excerpt,citation_locator,access_date,review_status,canonical_decision,reviewer,last_reviewed,notes
CLM-0122,kin|P190|P87|grandparent,kin,P190,P87,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P190 Hassan Fareed Didi and P87 Ibrahim Nooredine (Keerithi Maha Radun) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p190-p87-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p190-p87-grandparent.md.
CLM-0123,kin|P190|P90|aunt/uncle↔niece/nephew,kin,P190,P90,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P190 Hassan Fareed Didi and P90 Mohamed Imaduddine V (Keerithi Maha Radun) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p190-p90-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p190-p90-aunt-uncle-niece-nephew.md.
CLM-0124,kin|P190|P91|aunt/uncle↔niece/nephew,kin,P190,P91,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P190 Hassan Fareed Didi and P91 Mohamed Shamsuddine III (Kula Sundhura Katthiri) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p190-p91-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p190-p91-aunt-uncle-niece-nephew.md.
CLM-0125,kin|P191|P87|grandparent,kin,P191,P87,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P191 Ibrahim Fareed Didi and P87 Ibrahim Nooredine (Keerithi Maha Radun) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p191-p87-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p191-p87-grandparent.md.
CLM-0126,kin|P191|P90|aunt/uncle↔niece/nephew,kin,P191,P90,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P191 Ibrahim Fareed Didi and P90 Mohamed Imaduddine V (Keerithi Maha Radun) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p191-p90-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p191-p90-aunt-uncle-niece-nephew.md.
CLM-0127,kin|P191|P91|aunt/uncle↔niece/nephew,kin,P191,P91,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P191 Ibrahim Fareed Didi and P91 Mohamed Shamsuddine III (Kula Sundhura Katthiri) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p191-p91-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p191-p91-aunt-uncle-niece-nephew.md.
CLM-0130,kin|P193|P30|grandparent,kin,P193,P30,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P193 Princess Recca and P30 Hassan (Bavana) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p193-p30-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p193-p30-grandparent.md.
CLM-0131,kin|P193|P31|aunt/uncle↔niece/nephew,kin,P193,P31,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P193 Princess Recca and P31 Ibrahim (Dhammaru Veeru) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p193-p31-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p193-p31-aunt-uncle-niece-nephew.md.
CLM-0132,kin|P193|P39|aunt/uncle↔niece/nephew,kin,P193,P39,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P193 Princess Recca and P39 Yoosuf (Loka Aananadha) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p193-p39-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p193-p39-aunt-uncle-niece-nephew.md.
CLM-0133,kin|P193|P44|aunt/uncle↔niece/nephew,kin,P193,P44,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P193 Princess Recca and P44 Mohamed (Bavana Abarana) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p193-p44-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p193-p44-aunt-uncle-niece-nephew.md.
CLM-0134,kin|P193|P46|cousins,kin,P193,P46,cousins,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (cousins) between P193 Princess Recca and P46 Omar (Loka Sundhura) from modeled rule chain children-of-siblings-cousin.,Inference basis: children-of-siblings-cousin (see docs/research-program/inferences/kin-p193-p46-cousins.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p193-p46-cousins.md.
CLM-0135,kin|P194|P40|grandparent,kin,P194,P40,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P194 Burecca and P40 Aboobakuru (Bavana Sooja) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p194-p40-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p194-p40-grandparent.md.
CLM-0136,kin|P194|P41|aunt/uncle↔niece/nephew,kin,P194,P41,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P194 Burecca and P41 Hadi Hassan (Raadha Veeru) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p194-p41-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p194-p41-aunt-uncle-niece-nephew.md.
CLM-0137,kin|P194|P44|cousins,kin,P194,P44,cousins,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (cousins) between P194 Burecca and P44 Mohamed (Bavana Abarana) from modeled rule chain children-of-siblings-cousin.,Inference basis: children-of-siblings-cousin (see docs/research-program/inferences/kin-p194-p44-cousins.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p194-p44-cousins.md.
CLM-0138,kin|P196|P40|grandparent,kin,P196,P40,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P196 Reccy and P40 Aboobakuru (Bavana Sooja) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p196-p40-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p196-p40-grandparent.md.
CLM-0139,kin|P196|P41|aunt/uncle↔niece/nephew,kin,P196,P41,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P196 Reccy and P41 Hadi Hassan (Raadha Veeru) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p196-p41-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p196-p41-aunt-uncle-niece-nephew.md.
CLM-0140,kin|P196|P44|cousins,kin,P196,P44,cousins,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (cousins) between P196 Reccy and P44 Mohamed (Bavana Abarana) from modeled rule chain children-of-siblings-cousin.,Inference basis: children-of-siblings-cousin (see docs/research-program/inferences/kin-p196-p44-cousins.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p196-p44-cousins.md.
CLM-0142,kin|P30|P38|cousins (fathers were brothers),kin,P30,P38,cousins (fathers were brothers),c,direct,B,SRC-MRF-HILAALY,SRC-MRF-HILAALY,Royal House of Hilaaly dynastic context links P30 Hassan and P38 Danna Mohamed in kin relation (cousins (fathers were brothers)).,"SRC-MRF-HILAALY r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_hilaaly.shtml), dynasty/lineage entry context for P30 Hassan and P38 Danna Mohamed (kin (cousins (fathers were brothers))) in 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
CLM-0145,kin|P31|P32|uncle→nephew,kin,P31,P32,uncle→nephew,i,inferred,C,SRC-MRF-HILAALY,SRC-MRF-HILAALY,Hilaaly source context gives P31 and P32 as uncle-nephew relation in succession cluster notes.,SRC-MRF-HILAALY relation annotation for P31-P32 pair,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Curated inferred relation linked to founder branch context.
CLM-0153,kin|P39|P41|aunt/uncle↔niece/nephew,kin,P39,P41,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P39 Yoosuf (Loka Aananadha) and P41 Hadi Hassan (Raadha Veeru) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p39-p41-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p39-p41-aunt-uncle-niece-nephew.md.
CLM-0155,kin|P39|P50|grandparent,kin,P39,P50,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P39 Yoosuf (Loka Aananadha) and P50 Ibrahim (Bavana Furasuddha) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p39-p50-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p39-p50-grandparent.md.
CLM-0158,kin|P40|P44|grandparent,kin,P40,P44,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P40 Aboobakuru (Bavana Sooja) and P44 Mohamed (Bavana Abarana) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p40-p44-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p40-p44-grandparent.md.
CLM-0164,kin|P41|P46|cousins,kin,P41,P46,cousins,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (cousins) between P41 Hadi Hassan (Raadha Veeru) and P46 Omar (Loka Sundhura) from modeled rule chain children-of-siblings-cousin.,Inference basis: children-of-siblings-cousin (see docs/research-program/inferences/kin-p41-p46-cousins.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p41-p46-cousins.md.
CLM-0165,kin|P41|P57|aunt/uncle↔niece/nephew,kin,P41,P57,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P41 Hadi Hassan (Raadha Veeru) and P57 Ali (Aanandha) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p41-p57-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p41-p57-aunt-uncle-niece-nephew.md.
CLM-0166,kin|P44|P57|cousins,kin,P44,P57,cousins,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (cousins) between P44 Mohamed (Bavana Abarana) and P57 Ali (Aanandha) from modeled rule chain children-of-siblings-cousin.,Inference basis: children-of-siblings-cousin (see docs/research-program/inferences/kin-p44-p57-cousins.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p44-p57-cousins.md.
CLM-0179,kin|P55|P59|cousins,kin,P55,P59,cousins,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (cousins) between P55 Hassan (Singa Veeru) and P59 Hassan of Shiraz (Ram Mani Loka) from modeled rule chain children-of-siblings-cousin.,Inference basis: children-of-siblings-cousin (see docs/research-program/inferences/kin-p55-p59-cousins.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p55-p59-cousins.md.
CLM-0199,kin|P80|P99|grandparent,kin,P80,P99,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P80 Hassan Izzuddine (Kula Ran Meeba Audha) and P99 Hussain Daharadha Thakurufan from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p80-p99-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p80-p99-grandparent.md.
CLM-0213,kin|P88|P90|cousins,kin,P88,P90,cousins,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (cousins) between P88 Mohamed Mueenuddine (Keerithi Maha Radun) and P90 Mohamed Imaduddine V (Keerithi Maha Radun) from modeled rule chain children-of-siblings-cousin.,Inference basis: children-of-siblings-cousin (see docs/research-program/inferences/kin-p88-p90-cousins.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p88-p90-cousins.md.
CLM-0214,kin|P88|P91|cousins,kin,P88,P91,cousins,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (cousins) between P88 Mohamed Mueenuddine (Keerithi Maha Radun) and P91 Mohamed Shamsuddine III (Kula Sundhura Katthiri) from modeled rule chain children-of-siblings-cousin.,Inference basis: children-of-siblings-cousin (see docs/research-program/inferences/kin-p88-p91-cousins.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p88-p91-cousins.md.
CLM-0294,parent|P16|P18|ambiguous,parent,P16,P18,ambiguous,u,contested,D,SRC-MRF-KINGS,SRC-MRF-KINGS,Kings list contains ambiguous wording around P18 as 'son of P16' versus maternal half-brother framing.,SRC-MRF-KINGS entries #16-#18 contested parentage wording,2026-02-08,in_progress,pending,phase1-batch-b,2026-02-08,Kept as contested (u/D) until stronger corroboration resolves direction.
CLM-0338,parent|P40|P41|,parent,P40,P41,,c,direct,B,SRC-MRF-KINGS,SRC-MRF-KINGS,Kings list records parent edge P40 to P41.,SRC-MRF-KINGS entries for P40 and P41 parentage linkage,2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Direct parent edge for central Hilaaly descendant branch. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
CLM-0342,parent|P46|P50|,parent,P46,P50,,c,direct,B,SRC-MRF-KINGS,SRC-MRF-KINGS,Maldives Kings List family/genealogy content lists P46 Omar as parent of P50 Ibrahim.,"SRC-MRF-KINGS r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_kings_list.full.shtml), dynasty/lineage entry context for P46 Omar and P50 Ibrahim (parent) in 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-a,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete. Promotion Batch A approved 2026-02-08; curated-inference support claim.
CLM-0382,sibling|P129|P90|siblings (shared parent),sibling,P129,P90,siblings (shared parent),i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred sibling relation (siblings (shared parent)) between P129 Princess Veyogey Dhon Goma and P90 Mohamed Imaduddine V (Keerithi Maha Radun) from modeled rule chain shared-parent-sibling.,Inference basis: shared-parent-sibling (see docs/research-program/inferences/sibling-p129-p90-siblings-shared-parent.md).,2026-02-08,in_progress,pending,phase5-conflict-c,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/sibling-p129-p90-siblings-shared-parent.md. Phase 5 conflict batch C reviewed 2026-02-08 for P87/P90/P91/P95/P129 corridor.
CLM-0383,sibling|P129|P91|siblings (shared parent),sibling,P129,P91,siblings (shared parent),i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred sibling relation (siblings (shared parent)) between P129 Princess Veyogey Dhon Goma and P91 Mohamed Shamsuddine III (Kula Sundhura Katthiri) from modeled rule chain shared-parent-sibling.,Inference basis: shared-parent-sibling (see docs/research-program/inferences/sibling-p129-p91-siblings-shared-parent.md).,2026-02-08,in_progress,pending,phase5-conflict-c,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/sibling-p129-p91-siblings-shared-parent.md. Phase 5 conflict batch C reviewed 2026-02-08 for P87/P90/P91/P95/P129 corridor.
CLM-0406,sibling|P155|P87|siblings (shared parent),sibling,P155,P87,siblings (shared parent),i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred sibling relation (siblings (shared parent)) between P155 Maandhoogey Bodu Dhorhy Manippulu and P87 Ibrahim Nooredine (Keerithi Maha Radun) from modeled rule chain shared-parent-sibling.,Inference basis: shared-parent-sibling (see docs/research-program/inferences/sibling-p155-p87-siblings-shared-parent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/sibling-p155-p87-siblings-shared-parent.md.
CLM-0422,sibling|P193|P41|siblings (shared parent),sibling,P193,P41,siblings (shared parent),i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred sibling relation (siblings (shared parent)) between P193 Princess Recca and P41 Hadi Hassan (Raadha Veeru) from modeled rule chain shared-parent-sibling.,Inference basis: shared-parent-sibling (see docs/research-program/inferences/sibling-p193-p41-siblings-shared-parent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/sibling-p193-p41-siblings-shared-parent.md.
CLM-0424,sibling|P194|P57|siblings,sibling,P194,P57,siblings,c,direct,B,SRC-MRF-KINGS|SRC-MRF-HILAALY|SRC-WIKI-BURECCA|SRC-WIKI-HEADS-STATE,SRC-MRF-KINGS,Maldives Kings List family/genealogy content links P194 Burecca and P57 Ali as siblings (siblings).,"SRC-MRF-KINGS r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_kings_list.full.shtml), dynasty/lineage entry context for P194 Burecca and P57 Ali (sibling (siblings)) in 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
CLM-0425,sibling|P196|P57|siblings,sibling,P196,P57,siblings,c,direct,B,SRC-MRF-KINGS|SRC-MRF-HILAALY|SRC-WIKI-BURECCA,SRC-MRF-KINGS,Maldives Kings List family/genealogy content links P196 Reccy and P57 Ali as siblings (siblings).,"SRC-MRF-KINGS r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_kings_list.full.shtml), dynasty/lineage entry context for P196 Reccy and P57 Ali (sibling (siblings)) in 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
CLM-0444,sibling|P60|P61|full brothers,sibling,P60,P61,full brothers,c,direct,B,SRC-MRF-KINGS|SRC-WIKI-MONARCHS,SRC-MRF-KINGS,Maldives Kings List family/genealogy content links P60 Mohamed and P61 Hassan IX / Dom Manoel as siblings (full brothers).,"SRC-MRF-KINGS r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_kings_list.full.shtml), dynasty/lineage entry context for P60 Mohamed and P61 Hassan IX / Dom Manoel (sibling (full brothers)) in 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
CLM-0451,spouse|P101|P66|married,spouse,P101,P66,married,c,direct,B,SRC-MRF-KINGS|SRC-WIKI-MONARCHS,SRC-MRF-KINGS,Maldives Kings List family/genealogy content links P101 Donna Francisca Vasconcellos and P66 Joao’ as spouses (married).,"SRC-MRF-KINGS r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_kings_list.full.shtml), dynasty/lineage entry context for P101 Donna Francisca Vasconcellos and P66 Joao’ (spouse (married)) in 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
CLM-0464,spouse|P187|P85|married,spouse,P187,P85,married,c,direct,B,SRC-MRF-HURAA|SRC-MRF-KINGS,SRC-MRF-HURAA,Royal House of Hilaaly-Huraa family/genealogy content links P187 Athireegey Khadeeja Didi and P85 Mohamed Mueenuddine as spouses (married).,"SRC-MRF-HURAA r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_royal_huraagey.shtml), dynasty/lineage entry context for P187 Athireegey Khadeeja Didi and P85 Mohamed Mueenuddine (spouse (married)) in 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
CLM-0465,spouse|P188|P86|married,spouse,P188,P86,married,c,direct,B,SRC-MRF-HURAA|SRC-MRF-KINGS,SRC-MRF-HURAA,Royal House of Hilaaly-Huraa family/genealogy content links P188 Kudaedurugey Zulekha Rani Kilegefan and P86 Mohamed Imaduddine as spouses (married).,"SRC-MRF-HURAA r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_royal_huraagey.shtml), dynasty/lineage entry context for P188 Kudaedurugey Zulekha Rani Kilegefan and P86 Mohamed Imaduddine (spouse (married)) in 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
